sample,phase,victim_latency_ms,recovery_index,time_since_interference_end_ms
0,baseline,0.530431986,-1,-1
1,baseline,0.568319976,-1,-1
2,baseline,0.581632018,-1,-1
3,baseline,0.601087987,-1,-1
4,baseline,0.613376021,-1,-1
5,baseline,0.612447977,-1,-1
6,baseline,0.538623989,-1,-1
7,baseline,0.56627202,-1,-1
8,baseline,0.579584002,-1,-1
9,baseline,0.594944,-1,-1
10,baseline,0.590655982,-1,-1
11,baseline,0.592895985,-1,-1
12,baseline,0.593919992,-1,-1
13,baseline,0.592895985,-1,-1
14,baseline,0.590719998,-1,-1
15,baseline,0.588800013,-1,-1
16,baseline,0.594944,-1,-1
17,baseline,0.59296,-1,-1
18,baseline,0.589887977,-1,-1
19,baseline,0.592736006,-1,-1
20,baseline,0.594944,-1,-1
21,baseline,0.590848029,-1,-1
22,baseline,0.544767976,-1,-1
23,baseline,0.592895985,-1,-1
24,baseline,0.614400029,-1,-1
25,baseline,0.60006398,-1,-1
26,baseline,0.588,-1,-1
27,baseline,0.593919992,-1,-1
28,baseline,0.591871977,-1,-1
29,baseline,0.591903985,-1,-1
30,baseline,0.594016016,-1,-1
31,baseline,0.588544011,-1,-1
32,baseline,0.589824021,-1,-1
33,baseline,0.593631983,-1,-1
34,baseline,0.587840021,-1,-1
35,baseline,0.548864007,-1,-1
36,baseline,0.58572799,-1,-1
37,baseline,0.60927999,-1,-1
38,baseline,0.595327973,-1,-1
39,baseline,0.592863977,-1,-1
40,baseline,0.591871977,-1,-1
41,baseline,0.589536011,-1,-1
42,baseline,0.591871977,-1,-1
43,baseline,0.593695998,-1,-1
44,baseline,0.590848029,-1,-1
45,baseline,0.589504004,-1,-1
46,baseline,0.591167986,-1,-1
47,baseline,0.590816021,-1,-1
48,baseline,0.598016024,-1,-1
49,baseline,0.545791984,-1,-1
50,baseline,0.591871977,-1,-1
51,baseline,0.619520009,-1,-1
52,baseline,0.592832029,-1,-1
53,baseline,0.589056015,-1,-1
54,baseline,0.58969599,-1,-1
55,baseline,0.586911976,-1,-1
56,baseline,0.587776005,-1,-1
57,baseline,0.590848029,-1,-1
58,baseline,0.591871977,-1,-1
59,baseline,0.590848029,-1,-1
60,baseline,0.595968008,-1,-1
61,baseline,0.590111971,-1,-1
62,baseline,0.587776005,-1,-1
63,baseline,0.612352014,-1,-1
64,baseline,0.615423977,-1,-1
65,baseline,0.601087987,-1,-1
66,baseline,0.588576019,-1,-1
67,baseline,0.58572799,-1,-1
68,baseline,0.593792021,-1,-1
69,baseline,0.590143979,-1,-1
70,baseline,0.588800013,-1,-1
71,baseline,0.589856029,-1,-1
72,baseline,0.590848029,-1,-1
73,baseline,0.593919992,-1,-1
74,baseline,0.590752006,-1,-1
75,baseline,0.594911993,-1,-1
76,baseline,0.586751997,-1,-1
77,baseline,0.616447985,-1,-1
78,baseline,0.621568024,-1,-1
79,baseline,0.590848029,-1,-1
80,baseline,0.590848029,-1,-1
81,baseline,0.588800013,-1,-1
82,baseline,0.592895985,-1,-1
83,baseline,0.593919992,-1,-1
84,baseline,0.599039972,-1,-1
85,baseline,0.593919992,-1,-1
86,baseline,0.589824021,-1,-1
87,baseline,0.593919992,-1,-1
88,baseline,0.590943992,-1,-1
89,baseline,0.588800013,-1,-1
90,baseline,0.611328006,-1,-1
91,baseline,0.617471993,-1,-1
92,baseline,0.595968008,-1,-1
93,baseline,0.591871977,-1,-1
94,baseline,0.591968,-1,-1
95,baseline,0.591615975,-1,-1
96,baseline,0.588800013,-1,-1
97,baseline,0.593792021,-1,-1
98,baseline,0.590752006,-1,-1
99,baseline,0.590848029,-1,-1
100,interference,0.639999986,-1,-1
101,interference,0.571392,-1,-1
102,interference,0.571392,-1,-1
103,interference,0.803839982,-1,-1
104,interference,0.583679974,-1,-1
105,interference,0.591871977,-1,-1
106,interference,0.890879989,-1,-1
107,interference,0.586751997,-1,-1
108,interference,0.571392,-1,-1
109,interference,0.573440015,-1,-1
110,interference,0.571392,-1,-1
111,interference,0.570367992,-1,-1
112,interference,0.571392,-1,-1
113,interference,0.572416008,-1,-1
114,interference,0.571392,-1,-1
115,interference,0.570367992,-1,-1
116,interference,0.572416008,-1,-1
117,interference,1.05369604,-1,-1
118,interference,0.583679974,-1,-1
119,interference,0.591871977,-1,-1
120,interference,0.579584002,-1,-1
121,interference,0.570367992,-1,-1
122,interference,0.572416008,-1,-1
123,interference,0.573440015,-1,-1
124,interference,0.576511979,-1,-1
125,interference,0.570367992,-1,-1
126,interference,0.571392,-1,-1
127,interference,0.571392,-1,-1
128,interference,0.570367992,-1,-1
129,interference,0.572416008,-1,-1
130,interference,0.571392,-1,-1
131,interference,0.571392,-1,-1
132,interference,1.05983996,-1,-1
133,interference,0.590848029,-1,-1
134,interference,0.591871977,-1,-1
135,interference,0.571392,-1,-1
136,interference,0.571392,-1,-1
137,interference,0.571392,-1,-1
138,interference,0.570367992,-1,-1
139,interference,0.572416008,-1,-1
140,interference,0.572416008,-1,-1
141,interference,0.569343984,-1,-1
142,interference,1.05062401,-1,-1
143,interference,0.583679974,-1,-1
144,interference,0.592895985,-1,-1
145,interference,0.582656026,-1,-1
146,interference,0.571392,-1,-1
147,interference,0.571392,-1,-1
148,interference,0.571392,-1,-1
149,interference,0.569343984,-1,-1
150,interference,0.571392,-1,-1
151,interference,0.570367992,-1,-1
152,interference,0.571392,-1,-1
153,interference,0.571392,-1,-1
154,interference,0.571392,-1,-1
155,interference,0.571392,-1,-1
156,interference,0.571392,-1,-1
157,interference,0.801792026,-1,-1
158,interference,0.589824021,-1,-1
159,interference,0.594944,-1,-1
160,interference,0.570367992,-1,-1
161,interference,0.572416008,-1,-1
162,interference,0.573440015,-1,-1
163,interference,0.571392,-1,-1
164,interference,0.571392,-1,-1
165,interference,0.571392,-1,-1
166,interference,0.571392,-1,-1
167,interference,0.572416008,-1,-1
168,interference,0.572416008,-1,-1
169,interference,0.572416008,-1,-1
170,interference,0.571392,-1,-1
171,interference,0.818175972,-1,-1
172,interference,0.589824021,-1,-1
173,interference,0.590848029,-1,-1
174,interference,0.577535987,-1,-1
175,interference,0.568319976,-1,-1
176,interference,0.571392,-1,-1
177,interference,0.571392,-1,-1
178,interference,0.571392,-1,-1
179,interference,0.570367992,-1,-1
180,interference,0.570367992,-1,-1
181,interference,0.571392,-1,-1
182,interference,0.571392,-1,-1
183,interference,0.571392,-1,-1
184,interference,0.572416008,-1,-1
185,interference,0.817152023,-1,-1
186,interference,0.581632018,-1,-1
187,interference,0.587776005,-1,-1
188,interference,0.583679974,-1,-1
189,interference,0.572416008,-1,-1
190,interference,0.571392,-1,-1
191,interference,0.571392,-1,-1
192,interference,0.573440015,-1,-1
193,interference,0.570367992,-1,-1
194,interference,0.570367992,-1,-1
195,interference,0.572416008,-1,-1
196,interference,0.571392,-1,-1
197,interference,0.569343984,-1,-1
198,interference,0.571392,-1,-1
199,interference,0.570367992,-1,-1
200,recovery,0.540992022,0,0.0314880013
201,recovery,0.578559995,1,0.581376016
202,recovery,0.592032015,2,1.16505599
203,recovery,0.595968008,3,1.90848005
204,recovery,0.613376021,4,2.51161599
205,recovery,0.616447985,5,3.13420796
206,recovery,0.541696012,6,3.99641609
207,recovery,0.582656026,7,4.54425621
208,recovery,0.586751997,8,5.13203192
209,recovery,0.589824021,9,5.7249279
210,recovery,0.590848029,10,6.32191992
211,recovery,0.591871977,11,6.91788816
212,recovery,0.589824021,12,7.51488018
213,recovery,0.593183994,13,8.10982418
214,recovery,0.596992016,14,8.70886421
215,recovery,0.589824021,15,9.31097603
216,recovery,0.592895985,16,9.90592003
217,recovery,0.543744028,17,10.9063683
218,recovery,0.60006398,18,11.4572802
219,recovery,0.619520009,19,12.0727043
220,recovery,0.590848029,20,12.7065601
221,recovery,0.587872028,21,13.3025599
222,recovery,0.589504004,22,13.8957443
223,recovery,0.596159995,23,14.4903679
224,recovery,0.588576019,24,15.0927038
225,recovery,0.593919992,25,15.688448
226,recovery,0.590848029,26,16.2874889
227,recovery,0.595135987,27,16.8834553
228,recovery,0.590848029,28,17.4845448
229,recovery,0.590848029,29,18.0805111
230,recovery,0.543744028,30,19.0809593
231,recovery,0.608255982,31,19.6318722
232,recovery,0.615423977,32,20.2554874
233,recovery,0.588800013,33,20.8760319
234,recovery,0.593056023,34,21.4699516
235,recovery,0.588544011,35,22.068224
236,recovery,0.592895985,36,22.6618881
237,recovery,0.594847977,37,23.2610245
238,recovery,0.589824021,38,23.8620167
239,recovery,0.599039972,39,24.4569607
240,recovery,0.588800013,40,25.0611191
241,recovery,0.593919992,41,25.6550407
242,recovery,0.594976008,42,26.2544003
243,recovery,0.546815991,43,27.2565765
244,recovery,0.598016024,44,27.817728
245,recovery,0.614400029,45,28.4249592
246,recovery,0.590848029,46,29.0864639
247,recovery,0.587776005,47,29.6824322
248,recovery,0.58572799,48,30.2763519
249,recovery,0.591871977,49,30.8672009
250,recovery,0.588800013,50,31.4662399
251,recovery,0.592832029,51,32.0602226
252,recovery,0.591871977,52,32.6581764
253,recovery,0.588800013,53,33.2551689
254,recovery,0.589824021,54,33.8490868
255,recovery,0.590848029,55,34.4440308
256,recovery,0.591871977,56,35.1874542
257,recovery,0.616159976,57,35.785759
258,recovery,0.60927999,58,36.4080658
259,recovery,0.584703982,59,37.0234871
260,recovery,0.597855985,60,37.613472
261,recovery,0.587776005,61,38.2164497
262,recovery,0.591584027,62,38.8096313
263,recovery,0.59225601,63,39.4083824
264,recovery,0.588671982,64,40.0065269
265,recovery,0.589824021,65,40.6003189
266,recovery,0.589663982,66,41.1954231
267,recovery,0.593919992,67,41.7902069
268,recovery,0.589919984,68,42.3892479
269,recovery,0.592895985,69,42.9852142
270,recovery,0.581632018,70,43.7286415
271,recovery,0.60927999,71,44.3225594
272,recovery,0.612352014,72,44.9390068
273,recovery,0.58969599,73,45.5566063
274,recovery,0.588800013,74,46.1524467
275,recovery,0.595968008,75,46.7463684
276,recovery,0.595808029,76,47.3476143
277,recovery,0.587776005,77,47.9557114
278,recovery,0.592832029,78,48.5488319
279,recovery,0.593919992,79,49.1466255
280,recovery,0.588671982,80,49.7457924
281,recovery,0.588800013,81,50.3395844
282,recovery,0.592927992,82,50.9335022
283,recovery,0.58572799,83,51.5315208
284,recovery,0.598016024,84,52.2677765
285,recovery,0.617471993,85,52.8729591
286,recovery,0.605184019,86,53.5037422
287,recovery,0.595968008,87,54.114048
288,recovery,0.594944,88,54.7161598
289,recovery,0.590816021,89,55.3162575
290,recovery,0.593792021,90,55.9123192
291,recovery,0.588800013,91,56.513279
292,recovery,0.588800013,92,57.1072006
293,recovery,0.588671982,93,57.7012482
294,recovery,0.593919992,94,58.2950401
295,recovery,0.591520011,95,58.8944321
296,recovery,0.591232002,96,59.4910736
297,recovery,0.599039972,97,60.2344971
298,recovery,0.61411202,98,60.8389435
299,recovery,0.616447985,99,61.4612465
